5 215
A
C A B E
B
E A B
D B E A C
0 0 1 1 0
1 0 1 1 0
0 1 0 1 1
0 1 1 1 0
1 1 1 0 0
0 1 0 0 0
1 1 1 1 1
0 0 1 0 1
0 1 1 0 1
1 1 1 0 0
0 1 0 0 0
1 1 0 1 1
1 1 1 1 0
0 0 1 1 1
1 1 1 1 1
1 1 0 1 1
1 0 1 0 0
1 1 1 1 0
1 1 1 1 1
0 1 0 1 0
0 1 0 0 0
1 0 0 1 1
1 0 1 0 1
0 1 0 0 0
1 0 1 1 1
1 0 0 1 1
1 1 1 1 1
0 1 0 0 1
0 1 1 1 1
1 0 0 0 0
0 1 1 0 0
1 1 1 0 0
0 0 0 1 0
1 0 0 1 0
0 0 0 1 1
0 0 1 0 1
0 0 1 1 1
0 1 1 1 1
1 0 1 0 0
0 0 1 1 0
1 1 0 1 0
1 1 1 1 1
0 0 0 1 0
0 1 1 1 0
0 0 0 1 0
1 1 1 0 0
0 0 1 0 0
0 0 0 1 0
1 0 1 0 1
0 0 0 1 1
1 0 1 1 1
0 0 1 0 0
0 1 1 0 1
1 0 1 0 1
1 0 1 1 1
0 0 0 1 0
1 0 1 0 1
1 1 1 0 1
0 1 0 1 1
1 0 1 1 0
1 0 1 1 0
1 0 0 1 1
1 0 1 0 0
0 0 0 1 0
0 0 0 1 1
0 0 0 1 1
0 0 1 0 1
0 0 1 1 0
1 0 1 0 1
0 1 0 1 0
1 1 0 0 0
0 1 0 0 0
1 0 1 1 0
0 0 0 1 0
0 1 1 1 0
0 1 1 0 0
1 1 0 1 1
1 0 0 1 0
0 1 0 1 1
1 0 0 1 0
0 0 0 1 0
1 0 1 1 0
0 0 1 1 0
1 0 0 0 0
0 0 0 0 1
0 0 0 0 1
1 1 0 1 0
1 1 0 0 0
0 0 0 0 1
0 0 0 0 0
0 0 0 1 0
1 1 0 1 0
0 0 0 1 1
0 0 1 1 1
0 0 0 1 0
0 0 0 0 1
0 0 1 1 1
1 0 0 1 1
1 0 0 1 1
0 1 1 0 1
0 1 0 0 0
0 1 0 0 0
0 0 0 1 0
1 0 0 0 1
0 1 1 0 0
0 1 1 0 1
1 0 1 0 0
0 1 1 0 0
0 1 1 1 1
0 1 0 1 1
0 0 1 1 1
1 0 0 1 0
0 0 0 1 0
1 0 0 0 1
0 0 1 1 1
1 0 0 0 0
0 0 0 0 0
0 1 0 1 0
1 0 0 0 1
0 1 0 0 0
1 0 1 1 1
0 0 0 0 1
0 0 1 1 1
1 1 0 1 0
0 0 0 0 1
1 0 1 1 1
0 1 1 0 1
0 1 1 0 0
0 1 0 0 0
0 1 1 0 1
1 0 1 0 0
1 0 1 0 1
1 1 0 0 1
1 0 0 1 1
0 0 0 0 0
1 1 1 1 0
1 0 1 1 0
1 1 1 0 1
0 1 0 0 0
1 1 1 0 1
0 1 1 1 1
0 0 0 1 1
0 0 1 1 0
1 1 1 0 1
1 1 0 0 1
0 1 0 1 1
1 1 1 0 1
1 0 1 1 1
0 0 1 0 0
1 0 0 1 0
1 1 1 0 0
1 1 1 1 0
1 0 0 0 1
0 0 1 0 1
0 0 1 0 0
1 1 1 0 0
1 0 0 0 0
0 1 0 1 1
1 1 1 0 0
0 1 0 0 0
0 1 0 0 1
1 0 0 0 0
0 0 0 0 1
0 0 0 0 0
1 1 0 1 1
1 0 1 0 1
0 0 0 1 1
1 0 1 1 1
1 1 0 0 0
0 1 0 0 0
1 0 1 1 1
1 1 1 1 1
0 0 0 0 1
1 0 1 1 1
1 0 0 1 0
1 0 0 0 1
0 1 1 0 0
1 0 1 1 1
0 1 0 1 1
1 0 1 0 1
1 0 0 1 0
0 1 1 1 0
0 0 1 0 0
1 0 1 1 0
0 0 0 0 0
0 0 1 1 1
1 1 0 1 0
1 1 1 1 0
0 1 1 1 0
1 1 1 0 1
1 1 0 0 0
0 1 0 0 0
1 1 0 1 1
0 1 0 0 1
0 1 1 0 0
0 0 0 0 1
1 1 1 0 1
0 1 0 0 0
1 0 1 0 1
1 0 1 1 0
0 0 1 1 0
1 0 0 0 0
1 1 1 0 0
1 0 0 1 1
1 1 0 1 0
0 0 0 0 1
0 0 0 0 1
1 1 1 1 1
1 0 0 1 0
1 0 0 1 1
0 0 0 0 1
1 1 0 1 0
0 0 1 1 1
0 0 1 0 0
0 0 1 0 1
0 0 1 0 0
